Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
25,"Mar 14, 2016",2011,6-1,Kemba Walker,G,2015-2016,2016,4,Charlotte Hornets,0.5,East,184
27,"Mar 14, 2016",2009,6-3,Stephen Curry,G,2015-2016,2016,6,Golden State Warriors,0.5,West,190
29,"Mar 14, 2011",2003,6-4,Dwyane Wade,SG,2010-2011,2011,7,Miami Heat,0.5,East,220
28,"Mar 14, 2011",2001,6-2,Tony Parker,G,2010-2011,2011,9,San Antonio Spurs,0.5,West,185
28,"Mar 14, 2004",1996,7-3,Zydrunas Ilgauskas,C,2003-2004,2004,7,Cleveland Cavaliers,0.5,East,260
19,"Mar 14, 2004",2003,6-8,Carmelo Anthony,F,2003-2004,2004,0,Denver Nuggets,0.5,West,240
29,"Mar 14, 1999",1992,6-10,Alonzo Mourning,C,1998-1999,1999,6,Miami Heat,1,NA,240
26,"Mar 14, 1993",1990,6-2,Rumeal Robinson,PG,1992-1993,1993,2,New Jersey Nets,1,NA,195
26,"Mar 13, 2017",2010,193cm,John Wall,PG,2016-2017,2017,6,Washington Wizards,0.5,East,95kg
21,"Mar 13, 2017",2015,213cm,Karl-Anthony Towns,C,2016-2017,2017,1,Minnesota Timberwolves,0.5,West,111kg
27,"Mar 13, 2005",1998,6-7,Paul Pierce,SF,2004-2005,2005,6,Boston Celtics,0.5,East,235
25,"Mar 13, 2005",1997,6-8,Tracy McGrady,GF,2004-2005,2005,7,Houston Rockets,0.5,West,210
27,"Mar 13, 2000",1992,7-1,Shaquille O'Neal,C,1999-2000,2000,7,Los Angeles Lakers,1,NA,325
30,"Mar 13, 1994",1985,6-3,Joe Dumars,SG,1993-1994,1994,8,Detroit Pistons,1,NA,190
25,"Mar 13, 1988",1983,6-7,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,1,NA,210
28,"Mar 12, 2018",2009,201cm,DeMar DeRozan,GF,2017-2018,2018,8,Toronto Raptors,0.5,East,100kg
27,"Mar 12, 2018",2012,191cm,Damian Lillard,G,2017-2018,2018,5,Portland Trail Blazers,0.5,West,88kg
24,"Mar 12, 2012",2005,6-10,Ersan Ilyasova,F,2011-2012,2012,4,Milwaukee Bucks,0.5,East,235
26,"Mar 12, 2012",2005,6-3,Monta Ellis,G,2011-2012,2012,6,Golden State Warriors,0.5,West,185
28,"Mar 12, 2006",1998,6-7,Paul Pierce,SF,2005-2006,2006,7,Boston Celtics,0.5,East,235
27,"Mar 12, 2006",1998,6-2,Mike Bibby,G,2005-2006,2006,7,Sacramento Kings,0.5,West,195
28,"Mar 12, 1995",1988,7-4,Rik Smits,C,1994-1995,1995,6,Indiana Pacers,1,NA,250
27,"Mar 12, 1989",1981,6-1,Isiah Thomas,PG,1988-1989,1989,7,Detroit Pistons,1,NA,180
31,"Mar 11, 2013",2003,6-4,Dwyane Wade,SG,2012-2013,2013,9,Miami Heat,0.5,East,220
34,"Mar 11, 2013",1996,6-6,Kobe Bryant,SG,2012-2013,2013,16,Los Angeles Lakers,0.5,West,212
22,"Mar 11, 2007",2003,6-8,LeBron James,F,2006-2007,2007,3,Cleveland Cavaliers,0.5,East,250
29,"Mar 11, 2007",1999,6-6,Manu Ginobili,SG,2006-2007,2007,4,San Antonio Spurs,0.5,West,205
26,"Mar 11, 2001",1997,6-5,Derek Anderson,G,2000-2001,2001,3,San Antonio Spurs,1,NA,194
24,"Mar 11, 1990",1988,6-11,Rony Seikaly,C,1989-1990,1990,1,Miami Heat,1,NA,230
29,"Mar 10, 2014",2003,6-8,Carmelo Anthony,F,2013-2014,2014,10,New York Knicks,0.5,East,240
24,"Mar 10, 2014",2009,6-5,James Harden,SG,2013-2014,2014,4,Houston Rockets,0.5,West,220
29,"Mar 10, 2002",1995,6-9,Kurt Thomas,FC,2001-2002,2002,6,New York Knicks,0.5,East,240
29,"Mar 10, 2002",1992,7-1,Shaquille O'Neal,C,2001-2002,2002,9,Los Angeles Lakers,0.5,West,325
33,"Mar 10, 1996",1984,6-6,Michael Jordan,SG,1995-1996,1996,10,Chicago Bulls,1,NA,215
22,"Mar 10, 1991",1990,6-8,Dennis Scott,SF,1990-1991,1991,0,Orlando Magic,1,NA,229
26,"Mar 10, 1985",1980,6-4,Darrell Griffith,SG,1984-1985,1985,4,Utah Jazz,1,NA,190
25,"Mar 1, 2010",2003,6-8,LeBron James,F,2009-2010,2010,6,Cleveland Cavaliers,0.5,East,250
31,"Mar 1, 2010",1998,7-0,Dirk Nowitzki,PF,2009-2010,2010,11,Dallas Mavericks,0.5,West,245
21,"Mar 1, 1998",1997,6-11,Tim Duncan,FC,1997-1998,1998,0,San Antonio Spurs,1,NA,250
25,"Mar 1, 1992",1988,6-10,Danny Manning,F,1991-1992,1992,3,Los Angeles Clippers,1,NA,230
25,"Mar 1, 1992",1988,6-10,Danny Manning,F,1991-1992,1992,3,Los Angeles Clippers,1,NA,230
24,"Mar 1, 1987",1984,6-6,Michael Jordan,SG,1986-1987,1987,2,Chicago Bulls,1,NA,215
27,"Jan 9, 2017",2011,201cm,Jimmy Butler,GF,2016-2017,2017,5,Chicago Bulls,0.5,East,105kg
28,"Jan 9, 2017",2009,191cm,Stephen Curry,G,2016-2017,2017,7,Golden State Warriors,0.5,West,86kg
27,"Jan 9, 2012",2003,6-8,LeBron James,F,2011-2012,2012,8,Miami Heat,0.5,East,250
33,"Jan 9, 2012",1996,6-6,Kobe Bryant,SG,2011-2012,2012,15,Los Angeles Lakers,0.5,West,212
20,"Jan 9, 2005",2003,6-11,Chris Bosh,PF,2004-2005,2005,1,Toronto Raptors,0.5,East,235
33,"Jan 9, 2005",1993,6-7,Bruce Bowen,F,2004-2005,2005,9,San Antonio Spurs,0.5,West,200
20,"Jan 9, 1994",1993,6-9,Chris Webber,F-C,1993-1994,1994,0,Golden State Warriors,1,NA,245
28,"Jan 8, 2018",2009,201cm,DeMar DeRozan,GF,2017-2018,2018,8,Toronto Raptors,0.5,East,100kg
29,"Jan 8, 2018",2009,191cm,Stephen Curry,G,2017-2018,2018,8,Golden State Warriors,0.5,West,86kg
30,"Jan 8, 2006",1998,6-2,Mike James,G,2005-2006,2006,4,Toronto Raptors,0.5,East,188
32,"Jan 8, 2006",1996,6-3,Steve Nash,G,2005-2006,2006,9,Phoenix Suns,0.5,West,178
26,"Jan 8, 1995",1990,6-4,Gary Payton,G,1994-1995,1995,4,Seattle SuperSonics,1,NA,180
28,"Jan 8, 1989",1983,6-7,Dale Ellis,GF,1988-1989,1989,5,Seattle SuperSonics,1,NA,205
28,"Jan 7, 2013",2003,6-8,Carmelo Anthony,F,2012-2013,2013,9,New York Knicks,0.5,East,240
23,"Jan 7, 2013",2009,6-5,James Harden,SG,2012-2013,2013,3,Houston Rockets,0.5,West,220
25,"Jan 7, 2007",2001,6-3,Gilbert Arenas,G,2006-2007,2007,5,Washington Wizards,0.5,East,191
30,"Jan 7, 2007",1995,6-11,Kevin Garnett,PF,2006-2007,2007,11,Minnesota Timberwolves,0.5,West,240
25,"Jan 7, 2001",1996,6-0,Allen Iverson,G,2000-2001,2001,4,Philadelphia Sixers,1,NA,165
29,"Jan 7, 1996",1989,6-10,Cliff Robinson,PF,1995-1996,1996,6,Portland Trail Blazers,1,NA,225
29,"Jan 7, 1990",1982,6-5,Terry Teagle,SG,1989-1990,1990,7,Golden State Warriors,1,NA,195
25,"Jan 6, 2014",2007,6-8,Thaddeus Young,F,2013-2014,2014,6,Philadelphia Sixers,0.5,East,221
30,"Jan 6, 2014",2005,6-9,David Lee,FC,2013-2014,2014,8,Golden State Warriors,0.5,West,245
23,"Jan 6, 2008",2003,6-8,LeBron James,F,2007-2008,2008,4,Cleveland Cavaliers,0.5,East,250
32,"Jan 6, 2008",1996,6-0,Allen Iverson,G,2007-2008,2008,11,Denver Nuggets,0.5,West,165
30,"Jan 6, 2002",1994,6-6,Eddie Jones,G-F,2001-2002,2002,7,Miami Heat,0.5,East,200
28,"Jan 6, 2002",1993,6-9,Chris Webber,F-C,2001-2002,2002,8,Sacramento Kings,0.5,West,245
31,"Jan 6, 1991",1982,6-7,Dominique Wilkins,SF,1990-1991,1991,8,Atlanta Hawks,1,NA,200
23,"Jan 6, 1985",1981,6-1,Isiah Thomas,PG,1984-1985,1985,3,Detroit Pistons,1,NA,180
26,"Jan 5, 2015",2009,6-2,Jeff Teague,PG,2014-2015,2015,5,Atlanta Hawks,0.5,East,186
26,"Jan 5, 2015",2007,6-9,Kevin Durant,SF,2014-2015,2015,7,Oklahoma City Thunder,0.5,West,240
22,"Jan 5, 2009",2007,6-5,Rodney Stuckey,G,2008-2009,2009,1,Detroit Pistons,0.5,East,205
24,"Jan 5, 2009",2004,6-10,Al Jefferson,FC,2008-2009,2009,4,Minnesota Timberwolves,0.5,West,289
40,"Jan 5, 2003",1984,6-6,Michael Jordan,SG,2002-2003,2003,14,Washington Wizards,0.5,East,215
24,"Jan 5, 2003",1998,7-0,Dirk Nowitzki,PF,2002-2003,2003,4,Dallas Mavericks,0.5,West,245
29,"Jan 5, 1997",1989,6-8,Glen Rice,SF,1996-1997,1997,7,Charlotte Hornets,1,NA,228
29,"Jan 5, 1992",1985,7-0,Patrick Ewing,C,1991-1992,1992,6,New York Knicks,1,NA,240
23,"Jan 5, 1986",1983,6-7,Clyde Drexler,SG,1985-1986,1986,2,Portland Trail Blazers,1,NA,210
27,"Jan 4, 2016",2008,7-0,Brook Lopez,C,2015-2016,2016,7,Brooklyn Nets,0.5,East,268
25,"Jan 4, 2016",2012,6-7,Draymond Green,F,2015-2016,2016,3,Golden State Warriors,0.5,West,230
21,"Jan 4, 2010",2008,6-3,Derrick Rose,PG,2009-2010,2010,1,Chicago Bulls,0.5,East,190
21,"Jan 4, 2010",2007,6-9,Kevin Durant,SF,2009-2010,2010,2,Oklahoma City Thunder,0.5,West,240
29,"Jan 4, 2004",1996,6-9,Ben Wallace,FC,2003-2004,2004,7,Detroit Pistons,0.5,East,240
24,"Jan 4, 2004",1999,6-9,Elton Brand,PF,2003-2004,2004,4,Los Angeles Clippers,0.5,West,254
24,"Jan 4, 2004",1999,6-9,Elton Brand,PF,2003-2004,2004,4,Los Angeles Clippers,0.5,West,254
31,"Jan 4, 1998",1988,7-4,Rik Smits,C,1997-1998,1998,9,Indiana Pacers,1,NA,250
30,"Jan 4, 1987",1978,6-9,Larry Bird,SF,1986-1987,1987,7,Boston Celtics,1,NA,220
26,"Jan 31, 2011",2003,6-8,LeBron James,F,2010-2011,2011,7,Miami Heat,0.5,East,250
29,"Jan 31, 2011",2001,6-9,Zach Randolph,PF,2010-2011,2011,9,Memphis Grizzlies,0.5,West,260
33,"Jan 31, 2000",1991,7-2,Dikembe Mutombo,C,1999-2000,2000,8,Atlanta Hawks,1,NA,260
29,"Jan 31, 1993",1985,6-9,Karl Malone,PF,1992-1993,1993,7,Utah Jazz,1,NA,265
31,"Jan 31, 1988",1977,6-7,Bernard King,SF,1987-1988,1988,10,Washington Bullets,1,NA,205
25,"Jan 30, 2017",2012,193cm,Dion Waiters,SG,2016-2017,2017,4,Miami Heat,0.5,East,100kg
26,"Jan 30, 2017",2010,211cm,DeMarcus Cousins,C,2016-2017,2017,6,Sacramento Kings,0.5,West,122kg
27,"Jan 30, 2012",2003,6-8,LeBron James,F,2011-2012,2012,8,Miami Heat,0.5,East,250
23,"Jan 30, 2012",2008,6-3,Russell Westbrook,G,2011-2012,2012,3,Oklahoma City Thunder,0.5,West,200
21,"Jan 30, 2006",2003,6-8,LeBron James,F,2005-2006,2006,2,Cleveland Cavaliers,0.5,East,250
26,"Jan 30, 2006",1999,6-9,Elton Brand,PF,2005-2006,2006,6,Los Angeles Clippers,0.5,West,254
26,"Jan 30, 2006",1999,6-9,Elton Brand,PF,2005-2006,2006,6,Los Angeles Clippers,0.5,West,254
28,"Jan 30, 2005",1998,6-6,Vince Carter,SF,2004-2005,2005,6,New Jersey Nets,0.5,East,220
28,"Jan 30, 2005",1998,7-0,Brad Miller,C,2004-2005,2005,6,Sacramento Kings,0.5,West,261
30,"Jan 30, 1994",1986,6-6,Ron Harper,SG,1993-1994,1994,7,Los Angeles Clippers,1,NA,185
30,"Jan 30, 1994",1986,6-6,Ron Harper,SG,1993-1994,1994,7,Los Angeles Clippers,1,NA,185
27,"Jan 3, 2012",2003,6-8,LeBron James,F,2011-2012,2012,8,Miami Heat,0.5,East,250
23,"Jan 3, 2012",2007,6-9,Kevin Durant,SF,2011-2012,2012,4,Oklahoma City Thunder,0.5,West,240
29,"Jan 3, 2011",2003,6-4,Dwyane Wade,SG,2010-2011,2011,7,Miami Heat,0.5,East,220
34,"Jan 3, 2011",1997,6-3,Chauncey Billups,G,2010-2011,2011,13,Denver Nuggets,0.5,West,210
27,"Jan 3, 2000",1993,6-9,Chris Webber,F-C,1999-2000,2000,6,Sacramento Kings,1,NA,245
27,"Jan 3, 1993",1987,7-1,David Robinson,C,1992-1993,1993,3,San Antonio Spurs,1,NA,250
24,"Jan 3, 1988",1985,6-9,Karl Malone,PF,1987-1988,1988,2,Utah Jazz,1,NA,265
26,"Jan 29, 2018",2012,203cm,Khris Middleton,SF,2017-2018,2018,5,Milwaukee Bucks,0.5,East,106kg
29,"Jan 29, 2018",2009,191cm,Stephen Curry,G,2017-2018,2018,8,Golden State Warriors,0.5,West,86kg
32,"Jan 29, 1995",1984,6-1,John Stockton,PG,1994-1995,1995,10,Utah Jazz,1,NA,170
29,"Jan 29, 1989",1981,6-10,Tom Chambers,PF,1988-1989,1989,7,Phoenix Suns,1,NA,220
20,"Jan 28, 2013",2011,6-3,Kyrie Irving,G,2012-2013,2013,1,Cleveland Cavaliers,0.5,East,193
30,"Jan 28, 2013",2001,6-2,Tony Parker,G,2012-2013,2013,11,San Antonio Spurs,0.5,West,185
23,"Jan 28, 2007",2004,6-3,Ben Gordon,SG,2006-2007,2007,2,Chicago Bulls,0.5,East,200
33,"Jan 28, 2007",1996,6-3,Steve Nash,G,2006-2007,2007,10,Phoenix Suns,0.5,West,178
24,"Jan 28, 2001",1997,6-11,Tim Duncan,FC,2000-2001,2001,3,San Antonio Spurs,1,NA,250
30,"Jan 28, 1996",1987,6-7,Reggie Miller,SG,1995-1996,1996,8,Indiana Pacers,1,NA,185
26,"Jan 28, 1990",1985,6-9,Karl Malone,PF,1989-1990,1990,4,Utah Jazz,1,NA,265
29,"Jan 27, 2014",2006,6-8,Paul Millsap,FC,2013-2014,2014,7,Atlanta Hawks,0.5,East,246
25,"Jan 27, 2014",2007,6-9,Kevin Durant,SF,2013-2014,2014,6,Oklahoma City Thunder,0.5,West,240
28,"Jan 27, 2008",2000,6-10,Hedo Turkoglu,F,2007-2008,2008,7,Orlando Magic,0.5,East,220
23,"Jan 27, 2008",2004,6-10,Al Jefferson,FC,2007-2008,2008,3,Minnesota Timberwolves,0.5,West,289
26,"Jan 27, 2002",1996,6-0,Allen Iverson,G,2001-2002,2002,5,Philadelphia Sixers,0.5,East,165
23,"Jan 27, 2002",1998,7-0,Dirk Nowitzki,PF,2001-2002,2002,3,Dallas Mavericks,0.5,West,245
28,"Jan 27, 1991",1985,5-10,Michael Adams,PG,1990-1991,1991,5,Denver Nuggets,1,NA,163
32,"Jan 27, 1985",1974,6-11,Tom McMillen,PF,1984-1985,1985,9,Washington Bullets,1,NA,215
30,"Jan 26, 2015",2003,6-8,LeBron James,F,2014-2015,2015,11,Cleveland Cavaliers,0.5,East,250
25,"Jan 26, 2015",2011,6-7,Klay Thompson,G,2014-2015,2015,3,Golden State Warriors,0.5,West,215
24,"Jan 26, 2009",2003,6-8,LeBron James,F,2008-2009,2009,5,Cleveland Cavaliers,0.5,East,250
21,"Jan 26, 2009",2005,7-0,Andrew Bynum,C,2008-2009,2009,3,Los Angeles Lakers,0.5,West,285
25,"Jan 26, 2003",1998,6-7,Paul Pierce,SF,2002-2003,2003,4,Boston Celtics,0.5,East,235
26,"Jan 26, 2003",1997,6-11,Tim Duncan,FC,2002-2003,2003,5,San Antonio Spurs,0.5,West,250
31,"Jan 26, 1997",1988,6-5,Mitch Richmond,SG,1996-1997,1997,8,Sacramento Kings,1,NA,215
24,"Jan 26, 1992",1989,6-6,Nick Anderson,GF,1991-1992,1992,2,Orlando Magic,1,NA,228
23,"Jan 26, 1986",1984,6-6,Charles Barkley,PF,1985-1986,1986,1,Philadelphia Sixers,1,NA,252
25,"Jan 25, 2016",2011,6-1,Kemba Walker,G,2015-2016,2016,4,Charlotte Hornets,0.5,East,184
25,"Jan 25, 2016",2010,6-11,DeMarcus Cousins,C,2015-2016,2016,5,Sacramento Kings,0.5,West,270
25,"Jan 25, 2010",2003,6-8,LeBron James,F,2009-2010,2010,6,Cleveland Cavaliers,0.5,East,250
33,"Jan 25, 2010",1997,6-3,Chauncey Billups,G,2009-2010,2010,12,Denver Nuggets,0.5,West,210
22,"Jan 25, 2004",2002,6-9,Carlos Boozer,PF,2003-2004,2004,1,Cleveland Cavaliers,0.5,East,266
27,"Jan 25, 2004",1995,6-11,Kevin Garnett,PF,2003-2004,2004,8,Minnesota Timberwolves,0.5,West,240
30,"Jan 25, 1998",1990,6-10,Jayson Williams,FC,1997-1998,1998,7,New Jersey Nets,1,NA,245
33,"Jan 25, 1987",1976,6-7,Alex English,SF,1986-1987,1987,10,Denver Nuggets,1,NA,190
25,"Jan 24, 2011",2004,6-11,Dwight Howard,C,2010-2011,2011,6,Orlando Magic,0.5,East,265
25,"Jan 24, 2011",2006,6-11,LaMarcus Aldridge,FC,2010-2011,2011,4,Portland Trail Blazers,0.5,West,260
23,"Jan 24, 2000",1999,6-3,Steve Francis,G,1999-2000,2000,0,Houston Rockets,1,NA,195
30,"Jan 24, 1993",1985,7-0,Patrick Ewing,C,1992-1993,1993,7,New York Knicks,1,NA,240
25,"Jan 24, 1988",1984,6-6,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,1,NA,215
22,"Jan 23, 2017",2014,213cm,Joel Embiid,C,2016-2017,2017,2,Philadelphia Sixers,0.5,East,113kg
25,"Jan 23, 2017",2011,201cm,Kawhi Leonard,F,2016-2017,2017,5,San Antonio Spurs,0.5,West,104kg
26,"Jan 23, 2012",2004,6-11,Dwight Howard,C,2011-2012,2012,7,Orlando Magic,0.5,East,265
27,"Jan 23, 2012",2007,7-1,Marc Gasol,C,2011-2012,2012,3,Memphis Grizzlies,0.5,West,255
20,"Jan 23, 2005",2003,6-8,LeBron James,F,2004-2005,2005,1,Cleveland Cavaliers,0.5,East,250
27,"Jan 23, 2005",1999,6-2,Jason Terry,G,2004-2005,2005,5,Dallas Mavericks,0.5,West,185
23,"Jan 23, 1994",1991,6-0,Kenny Anderson,PG,1993-1994,1994,2,New Jersey Nets,1,NA,168
23,"Jan 22, 2018",2014,213cm,Joel Embiid,C,2017-2018,2018,3,Philadelphia Sixers,0.5,East,113kg
27,"Jan 22, 2018",2012,191cm,Damian Lillard,G,2017-2018,2018,5,Portland Trail Blazers,0.5,West,88kg
28,"Jan 22, 2006",1999,6-7,Richard Hamilton,SG,2005-2006,2006,6,Detroit Pistons,0.5,East,193
27,"Jan 22, 2006",1996,6-6,Kobe Bryant,SG,2005-2006,2006,9,Los Angeles Lakers,0.5,West,212
28,"Jan 22, 2001",1993,6-9,Chris Webber,F-C,2000-2001,2001,7,Sacramento Kings,1,NA,245
32,"Jan 22, 1995",1985,7-0,Patrick Ewing,C,1994-1995,1995,9,New York Knicks,1,NA,240
25,"Jan 22, 1989",1985,6-7,Chris Mullin,SF,1988-1989,1989,3,Golden State Warriors,1,NA,215
31,"Jan 21, 2013",2002,6-9,Carlos Boozer,PF,2012-2013,2013,10,Chicago Bulls,0.5,East,266
24,"Jan 21, 2013",2007,6-9,Kevin Durant,SF,2012-2013,2013,5,Oklahoma City Thunder,0.5,West,240
26,"Jan 21, 2007",2002,6-7,Caron Butler,SF,2006-2007,2007,4,Washington Wizards,0.5,East,228
33,"Jan 21, 2007",1996,6-3,Steve Nash,G,2006-2007,2007,10,Phoenix Suns,0.5,West,178
33,"Jan 21, 1996",1984,6-6,Michael Jordan,SG,1995-1996,1996,10,Chicago Bulls,1,NA,215
27,"Jan 21, 1990",1984,6-3,Alvin Robertson,SG,1989-1990,1990,5,Milwaukee Bucks,1,NA,185
23,"Jan 20, 2014",2010,6-9,Paul George,GF,2013-2014,2014,3,Indiana Pacers,0.5,East,220
25,"Jan 20, 2014",2007,6-9,Kevin Durant,SF,2013-2014,2014,6,Oklahoma City Thunder,0.5,West,240
25,"Jan 20, 2008",2001,6-7,Gerald Wallace,F,2007-2008,2008,6,Charlotte Bobcats,0.5,East,220
28,"Jan 20, 2008",1999,6-3,Baron Davis,G,2007-2008,2008,8,Golden State Warriors,0.5,West,215
26,"Jan 20, 2002",1996,6-0,Allen Iverson,G,2001-2002,2002,5,Philadelphia Sixers,0.5,East,165
23,"Jan 20, 2002",1996,6-6,Kobe Bryant,SG,2001-2002,2002,5,Los Angeles Lakers,0.5,West,212
24,"Jan 20, 1991",1989,6-0,Tim Hardaway,PG,1990-1991,1991,1,Golden State Warriors,1,NA,175
22,"Jan 20, 1985",1984,6-6,Michael Jordan,SG,1984-1985,1985,0,Chicago Bulls,1,NA,215
24,"Jan 2, 2018",2012,196cm,Bradley Beal,SG,2017-2018,2018,5,Washington Wizards,0.5,East,94kg
31,"Jan 2, 2018",2005,185cm,Lou Williams,G,2017-2018,2018,12,Los Angeles Clippers,0.5,West,79kg
31,"Jan 2, 2018",2005,185cm,Lou Williams,G,2017-2018,2018,12,Los Angeles Clippers,0.5,West,79kg
26,"Jan 2, 2017",2010,193cm,John Wall,PG,2016-2017,2017,6,Washington Wizards,0.5,East,95kg
27,"Jan 2, 2017",2009,196cm,James Harden,SG,2016-2017,2017,7,Houston Rockets,0.5,West,100kg
28,"Jan 2, 2005",1996,6-2,Stephon Marbury,G,2004-2005,2005,8,New York Knicks,0.5,East,180
24,"Jan 2, 2005",2001,7-0,Pau Gasol,FC,2004-2005,2005,3,Memphis Grizzlies,0.5,West,250
23,"Jan 2, 1994",1992,6-9,Oliver Miller,C,1993-1994,1994,1,Phoenix Suns,1,NA,280
28,"Jan 19, 2015",2007,6-10,Al Horford,FC,2014-2015,2015,7,Atlanta Hawks,0.5,East,245
32,"Jan 19, 2015",2003,6-1,Mo Williams,G,2014-2015,2015,11,Minnesota Timberwolves,0.5,West,198
31,"Jan 19, 2010",1997,6-8,Stephen Jackson,GF,2009-2010,2010,12,Charlotte Bobcats,0.5,East,220
25,"Jan 19, 2010",2003,6-8,Carmelo Anthony,F,2009-2010,2010,6,Denver Nuggets,0.5,West,240
27,"Jan 19, 2009",2004,6-0,Jameer Nelson,G,2008-2009,2009,4,Orlando Magic,0.5,East,190
23,"Jan 19, 2009",2005,6-0,Chris Paul,PG,2008-2009,2009,3,New Orleans Hornets,0.5,West,175
23,"Jan 19, 2009",2005,6-0,Chris Paul,PG,2008-2009,2009,3,New Orleans Hornets,0.5,West,175
26,"Jan 19, 2003",1996,6-9,Antoine Walker,F,2002-2003,2003,6,Boston Celtics,0.5,East,265
26,"Jan 19, 2003",1999,6-3,Steve Francis,G,2002-2003,2003,3,Houston Rockets,0.5,West,195
24,"Jan 19, 1997",1994,6-8,Grant Hill,SF,1996-1997,1997,2,Detroit Pistons,1,NA,225
25,"Jan 19, 1992",1989,6-0,Tim Hardaway,PG,1991-1992,1992,2,Golden State Warriors,1,NA,175
29,"Jan 19, 1986",1978,6-9,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,1,NA,220
25,"Jan 18, 2016",2010,6-4,John Wall,PG,2015-2016,2016,5,Washington Wizards,0.5,East,210
27,"Jan 18, 2016",2007,6-9,Kevin Durant,SF,2015-2016,2016,8,Oklahoma City Thunder,0.5,West,240
22,"Jan 18, 2011",2008,6-3,Derrick Rose,PG,2010-2011,2011,2,Chicago Bulls,0.5,East,190
22,"Jan 18, 2011",2008,6-3,Russell Westbrook,G,2010-2011,2011,2,Oklahoma City Thunder,0.5,West,200
27,"Jan 18, 2004",1996,6-2,Stephon Marbury,G,2003-2004,2004,7,New York Knicks,0.5,East,180
30,"Jan 18, 2004",1995,6-7,Michael Finley,G-F,2003-2004,2004,8,Dallas Mavericks,0.5,West,225
22,"Jan 18, 1998",1996,6-0,Allen Iverson,G,1997-1998,1998,1,Philadelphia Sixers,1,NA,165
24,"Jan 18, 1987",1984,6-9,Otis Thorpe,PF,1986-1987,1987,2,Sacramento Kings,1,NA,225
27,"Jan 17, 2000",1993,6-9,Chris Webber,F-C,1999-2000,2000,6,Sacramento Kings,1,NA,245
30,"Jan 17, 1993",1984,7-0,Hakeem Olajuwon,C,1992-1993,1993,8,Houston Rockets,1,NA,255
28,"Jan 17, 1988",1982,6-7,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,1,NA,200
27,"Jan 16, 2017",2009,201cm,DeMar DeRozan,GF,2016-2017,2017,7,Toronto Raptors,0.5,East,100kg
26,"Jan 16, 2017",2010,203cm,Gordon Hayward,GF,2016-2017,2017,6,Utah Jazz,0.5,West,102kg
23,"Jan 16, 2012",2008,6-3,Derrick Rose,PG,2011-2012,2012,3,Chicago Bulls,0.5,East,190
33,"Jan 16, 2012",1996,6-6,Kobe Bryant,SG,2011-2012,2012,15,Los Angeles Lakers,0.5,West,212
26,"Jan 16, 2005",1998,6-5,Larry Hughes,G,2004-2005,2005,6,Washington Wizards,0.5,East,184
25,"Jan 16, 2005",1997,6-8,Tracy McGrady,GF,2004-2005,2005,7,Houston Rockets,0.5,West,210
31,"Jan 16, 1994",1985,7-0,Patrick Ewing,C,1993-1994,1994,8,New York Knicks,1,NA,240
31,"Jan 15, 2018",2008,191cm,Goran Dragic,G,2017-2018,2018,9,Miami Heat,0.5,East,86kg
31,"Jan 15, 2018",2005,185cm,Lou Williams,G,2017-2018,2018,12,Los Angeles Clippers,0.5,West,79kg
31,"Jan 15, 2018",2005,185cm,Lou Williams,G,2017-2018,2018,12,Los Angeles Clippers,0.5,West,79kg
30,"Jan 15, 2006",1996,6-0,Allen Iverson,G,2005-2006,2006,9,Philadelphia Sixers,0.5,East,165
29,"Jan 15, 2006",1995,6-11,Kevin Garnett,PF,2005-2006,2006,10,Minnesota Timberwolves,0.5,West,240
25,"Jan 15, 1995",1991,6-6,Larry Johnson,F,1994-1995,1995,3,Charlotte Hornets,1,NA,250
26,"Jan 15, 1989",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,1,NA,215
23,"Jan 14, 2013",2009,6-1,Brandon Jennings,G,2012-2013,2013,3,Milwaukee Bucks,0.5,East,170
24,"Jan 14, 2013",2007,6-9,Kevin Durant,SF,2012-2013,2013,5,Oklahoma City Thunder,0.5,West,240
25,"Jan 14, 2007",2003,6-4,Dwyane Wade,SG,2006-2007,2007,3,Miami Heat,0.5,East,220
28,"Jan 14, 2007",1998,7-0,Dirk Nowitzki,PF,2006-2007,2007,8,Dallas Mavericks,0.5,West,245
24,"Jan 14, 2001",1999,6-3,Steve Francis,G,2000-2001,2001,1,Houston Rockets,1,NA,195
30,"Jan 14, 1996",1987,7-1,David Robinson,C,1995-1996,1996,6,San Antonio Spurs,1,NA,250
26,"Jan 14, 1990",1986,6-6,Ron Harper,SG,1989-1990,1990,3,Los Angeles Clippers,1,NA,185
26,"Jan 14, 1990",1986,6-6,Ron Harper,SG,1989-1990,1990,3,Los Angeles Clippers,1,NA,185
29,"Jan 13, 2014",2003,6-8,Carmelo Anthony,F,2013-2014,2014,10,New York Knicks,0.5,East,240
23,"Jan 13, 2014",2010,6-11,DeMarcus Cousins,C,2013-2014,2014,3,Sacramento Kings,0.5,West,270
